"","LYN","SYK","BLNK","PLC","PKC","AKT","RAF","MEK","ERK"
"1",0.15625,0.284900284900285,0.0699300699300699,0.0469704086425552,0.561797752808989,0.175131348511384,0.757575757575758,0.309597523219814,0.179856115107914
"2",0.4375,0.547008547008547,0.762237762237762,0.581963363081259,0.702247191011236,0.287215411558669,0.818181818181818,0.359133126934985,0.526978417266187
"3",0.953125,0.564102564102564,0.811188811188811,0.73602630342884,0.629213483146067,0.357267950963222,1,0.470588235294118,0.732014388489209
"4",0.984375,0.945868945868946,1,0.952559887271019,0.696629213483146,0.430823117338003,0.984848484848485,0.532507739938081,0.79136690647482
"5",0.984375,1,0.594405594405594,0.94081728511038,0.797752808988764,1,0.946969696969697,0.708978328173375,0.870503597122302
"6",1,0.849002849002849,0.395104895104895,0.944574917801785,0.949438202247191,0.875656742556918,0.848484848484849,1,1
"7",0.9453125,0.655270655270655,0.0699300699300699,1,1,0.665499124343257,0.674242424242424,0.780185758513932,0.946043165467626
"8",0.759375,0.39031339031339,0.0657342657342657,0.941756693283232,0.702247191011236,0.630472854640981,0.325757575757576,0.560371517027864,0.933453237410072
